cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
2237852,F.CAT,1A,1,0,229.02
9M1974,F.CAT,1A,30,0,70.74
9X8256,F.CAT,1A,5,0,500.66
2264755,F.CAT,1A,1,0,43.62
1178801,F.CAT,1A,1,0,32000
VU087,VULKANO,1A,2,0,2671.6
VU113,VULKANO,1A,3,0,557.75
QSB6.7,CUMMINS,1A,0,0,48.59
1250065404,EPICROC,1A,1,0,429.58
OLI-243,OLI,1A,2,0,0
OLI-244,OLI,1A,3,0,3121.8
OLI-CA 280,OLI,1A,3,0,0
NA00026,TOYOTA,1A,1,0,0
373-2789,CAT,1A,1,0,0.22
520-1511,CAT,1A,1,0,0
5201511 X,N/A,1A,1,0,0
NA00027,COFECO,1A,50,0,0
2874863,ELECTROMOVIL,1A,2,0,0
ABRAZADERA-01,N/A,1B,2,0,0
ABRAZADERA-02,N/A,1B,21,0,0
ABRAZADERA-03,N/A,1B,14,0,0
ABRAZADERA-04,N/A,1B,3,0,0
ABRAZADERA-05,N/A,1B,2,0,0
ABRAZADERA-06,N/A,1B,1,0,0
ABRAZADERA-07,N/A,1B,2,0,0
ABRAZADERA-08,N/A,1B,7,0,0
ABRAZADERA-09,N/A,1B,1,0,0
ABRAZADERA-10,N/A,1B,2,0,0
ACOPLE-01,N/A,1B,18,0,0
ACOPLE-02,N/A,1B,9,0,0
ACOPLE-03,N/A,1B,1,0,0
ACOPLE-04,N/A,1B,2,0,0
ACOPLE-05,N/A,1B,1,0,0
ACOPLE-06,N/A,1B,1,0,0
ACOPLE-07,N/A,1B,1,0,0
ADAPT-01,N/A,1B,1,0,0
ADAPT-02,N/A,1B,2,0,0
ADAPT-03,N/A,1B,1,0,0
ADAPT-04,N/A,1B,1,0,0
ADAPT-05,N/A,1B,3,0,0
ADAPT-06,N/A,1B,5,0,0
SC-03,N/A,1B,1,0,0
BARRAINI-01,N/A,1B,1,0,0
BARRAINI-02,N/A,1B,3,0,0
BARRAINI-03,N/A,1B,6,0,0
BARRAINI-04,N/A,1B,9,0,0
BARRAINI-05,N/A,1B,3,0,0
BARRAINI-06,N/A,1B,1,0,0
BARRAINI-07,N/A,1B,11,0,0
BARRAINI-08,N/A,1B,4,0,0
BARRAINI-09,N/A,1B,2,0,0
BARRAINI-10,N/A,1B,3,0,0
BARRAINI-11,N/A,1B,4,0,0
BARRAINI-12,N/A,1B,4,0,0
BARRAINI-13,N/A,1B,1,0,0
BARRAPERF-01,N/A,1B,1,0,0
BARRAPERF-02,N/A,1B,1,0,0
BARRAPERF-03,N/A,1B,1,0,0
BARRAPERF-04,N/A,1B,1,0,0
BARRAPERF-05,N/A,1B,4,0,0
BARRAPERF-06,N/A,1B,3,0,0
BARRAPERF-07,N/A,1B,5,0,0
BARRAPERF-08,N/A,1B,18,0,0
BARRAPERF-09,N/A,1B,3,0,0
BARRAPERF-10,N/A,1B,5,0,0
BARRAPERF-11,N/A,1B,2,0,0
BARRAPERF-12,N/A,1B,10,0,0
BARRAPERF-13,N/A,1B,6,0,0
BARRAPERF-14,N/A,1B,1,0,0
BARRAPERF-15,N/A,1B,2,0,0
BARRAPERF-16,N/A,1B,4,0,0
BARRAPERF-17,N/A,1B,1,0,0
BARRAPERF-18,N/A,1B,1,0,0
BARRAPERF-19,N/A,1B,12,0,0
BARRAPERF-20,N/A,1B,4,0,0
BARRAPERF-21,N/A,1B,10,0,0
BARRAPERF-22,N/A,1B,9,0,0
BARRAPERF-23,N/A,1B,27,0,0
BARRAPERF-24,N/A,1B,3,0,0
BARRAPERF-25,N/A,1B,7,0,0
BARRENO-01,N/A,1B,4,0,0
BARRENO-02,N/A,1B,1,0,0
BARRENO-03,N/A,1B,12,0,0
BARRENO-04,N/A,1B,4,0,0
BARRENO-05,N/A,1B,21,0,0
BARRENO-06,N/A,1B,2,0,0
BARRENO-07,N/A,1B,1,0,0
BARRETA,N/A,1B,1,0,0
BIFUR-01,N/A,1B,1,0,0
BIFUR-02,N/A,1B,1,0,0
BROCA-01,N/A,1B,11,0,0
BROCA-02,N/A,1B,15,0,0
BROCA-03,N/A,1B,2,0,0
BROCA-04,N/A,1B,1,0,0
BROCA-05,N/A,1B,7,0,0
BROCA-06,N/A,1B,7,0,0
BROCA-07,N/A,1B,1,0,0
BROCA-08,N/A,1B,1,0,0
BROCA-09,N/A,1B,9,0,0
BROCA-10,N/A,1B,1,0,0
BROCA-11,N/A,1B,32,0,0
BROCA-12,N/A,1B,12,0,0
BROCA-13,N/A,1B,17,0,0
BROCA-14,N/A,1B,20,0,0
BROCA-15,N/A,1B,112,0,0
BROCA-16,N/A,1B,1,0,0
BROCA-17,N/A,1B,50,0,0
BROCA-18,N/A,1B,25,0,0
BROCA-19,N/A,1B,121,0,0
BROCA-20,N/A,1B,2,0,0
BROCA-21,N/A,1B,35,0,0
BROCA-22,N/A,1B,1,0,0
BROCA-23,N/A,1B,107,0,0
BROCA-24,N/A,1B,2,0,0
BROCA-25,N/A,1B,2,0,0
BROCA-26,N/A,1B,6,0,0
BROCA-27,N/A,1B,1,0,0
BROCA-28,N/A,1B,32,0,0
BROCA-29,N/A,1B,105,0,0
BROCA-30,N/A,1B,1,0,0
BROCA-31,N/A,1B,5,0,0
BROCA-32,N/A,1B,2,0,0
BROCA-33,N/A,1B,9,0,0
BROCA-34,N/A,1B,3,0,0
BROCA-35,N/A,1B,4,0,0
BROCA-36,N/A,1B,3,0,0
BROCA-37,N/A,1B,3,0,0
BROCA-38,N/A,1B,3,0,0
BROCA-39,N/A,1B,1,0,0
BROCA-40,N/A,1B,10,0,0
