CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN
0001-1726-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1727-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1728-400,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1731-600,UN,TERMÓMETRO DE MAQUINA
0001-1732-400,UN,TERMÓMETRO DE MAQUINA
0001-1733-400,UN,TERMÓMETRO DE MAQUINA
0001-1733-600,UN,TERMÓMETRO DE MAQUINA
0001-1734-400,UN,TERMÓMETRO DE MAQUINA
0001-1734-600,UN,TERMÓMETRO DE MAQUINA
0001-1735-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1742-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1744-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1747-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1751-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1752-700,UN,CILINDRO DE MEDICIÓN
0001-1755-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1757-400,UN,MIRILLA, COMP.
0001-1760-400,UN,FLUIDÓMETRO
0001-1800-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1819-400,UN,TRANSDUCTOR DE PRESIÓN
0002-2480-310,UN,BUJE
0002-2492-400,UN,TUBO ACODADO
0002-2565-400,UN,TUBO ACODADO
0002-2740-318,UN,BUJE
0002-2765-400,UN,CASQUILLO
0002-2767-310,UN,BUJE
0002-2768-310,UN,BUJE
0002-2770-310,UN,BUJE
0002-2771-318,UN,BUJE
0002-3025-420,UN,CASQUILLO
0002-3030-420,UN,CASQUILLO
0002-3031-420,UN,CASQUILLO
0002-3033-330,UN,CASQUILLO
0002-3033-440,UN,CASQUILLO
0002-3038-400,UN,CASQUILLO
0002-3039-330,UN,CASQUILLO
0002-3040-400,UN,CASQUILLO
0002-3042-330,UN,CASQUILLO
0002-3042-420,UN,CASQUILLO
0002-3137-330,UN,CASQUILLO
0002-3137-420,UN,CASQUILLO
0002-3144-420,UN,CASQUILLO
0002-3146-420,UN,CASQUILLO
0002-3155-420,UN,CASQUILLO
0002-3160-420,UN,CASQUILLO
0002-3257-400,UN,TUBO ACODADO
0002-3343-318,UN,BUJE
0002-3350-400,UN,TUBO ACODADO, SOLD.
0002-3371-550,UN,TUBO ACODADO
0002-6285-400,UN,TUBO ACODADO
0002-6328-400,UN,TUBO ACODADO, SOLD.
0002-6364-050,UN,TUBO ACODADO
0003-0006-000,UN,LLAVE DE CLAVIJA, COMP.
0003-0014-000,UN,LLAVE DE CLAVIJA, COMP.
0003-0035-030,UN,EXTRACTOR
0003-0044-400,UN,LLAVE DE TUBO, COMP.
0003-0049-030,UN,LLAVE DE TUBO, COMP.
0003-0052-030,UN,EXTRACTOR
0003-0057-000,UN,LLAVE DE TUBO, COMP.
0003-0059-110,UN,LLAVE POLIGONAL ESPECIAL
0003-0060-000,UN,RAMPA SPANNSET
0003-0064-030,UN,LLAVE, COMP.
0003-0067-320,UN,INSERTO
0003-0069-000,UN,LLAVE DE DESBLOQUEO
0003-0084-320,UN,LLAVE DE UNA BOCA
0003-0085-320,UN,LLAVE DE UNA BOCA
0003-0086-320,UN,LLAVE DE UNA BOCA
0003-0087-000,UN,LLAVE DE CLAVIJA, COMP.
0003-0094-320,UN,INSERTO
0003-0095-320,UN,MANGO TRANSVERSAL
0003-0096-000,UN,LLAVE ANULAR, SOLD.
0003-0097-000,UN,LLAVE DE CLAVIJA, COMP.
0003-0101-030,UN,LLAVE DE TUBO, COMP.
0003-0102-000,UN,LLAVE ANULAR, COMP.
0003-0113-030,UN,LLAVE, COMP.
0003-0120-000,UN,LLAVE DE TUBO, SOLD.
0003-0122-000,UN,LLAVE DE TUBO, SOLD.
0003-0124-000,UN,LLAVE DE TUBO, SOLD.
0003-0125-000,UN,LLAVE DE TUBO, SOLD.
0003-0126-000,UN,LLAVE DE TUBO, SOLD.
0003-0128-000,UN,LLAVE DE TUBO, SOLD.
0003-0129-000,UN,LLAVE DE TUBO, SOLD.
0003-0131-000,UN,LLAVE DE TUBO, SOLD.
0003-0133-000,UN,LLAVE DE TUBO, SOLD.
0003-0136-000,UN,LLAVE DE TUBO, SOLD.
0003-0138-000,UN,LLAVE DE TUBO, SOLD.
